Atleta,Minuto,Prev_Dist_Total,Prev_Load_Total
Alex Henrique,45,1880.0796249851717,196.53391452536576
Alex Henrique,50,1880.0796249851721,196.53391452536584
Alex Henrique,55,1903.1240443286058,193.9654472230257
Alex Henrique,60,1903.1240443286063,193.96544722302573
Alex Henrique,65,1903.1240443286067,193.9654472230257
Alex Henrique,70,1903.1240443286063,193.9654472230257
Alex Henrique,75,1903.1240443286063,193.9654472230257
Alex Henrique,80,1903.1240443286067,193.9654472230257
Alex Henrique,85,1903.1240443286058,193.9654472230257
Alex Henrique,90,1903.1240443286067,193.96544722302573
Ewerton Ferreira,45,962.2833410751194,90.39178522208316
Ewerton Ferreira,50,897.1737191276221,79.63032904487831
Ewerton Ferreira,55,903.5159784224942,74.32587822347746
Ewerton Ferreira,60,903.5159784224944,74.32587822347747
Ewerton Ferreira,65,903.5159784224944,74.32587822347747
Ewerton Ferreira,70,903.5159784224944,74.32587822347746
Ewerton Ferreira,75,903.5159784224942,74.32587822347747
Ewerton Ferreira,80,903.5159784224945,74.32587822347746
Ewerton Ferreira,85,903.5159784224944,74.32587822347746
Ewerton Ferreira,90,903.5159784224944,74.32587822347749
Joao Miguel,45,7082.64230742917,824.2862013960619
Joao Miguel,50,7202.594108861908,834.7572997833832
Joao Miguel,55,7253.511004986103,837.469333593593
Joao Miguel,60,7253.511004986103,837.4693335935925
Joao Miguel,65,7253.511004986101,837.4693335935928
Joao Miguel,70,7253.511004986103,837.4693335935925
Joao Miguel,75,7253.511004986101,837.4693335935926
Joao Miguel,80,7253.511004986101,837.4693335935925
Joao Miguel,85,7253.511004986101,837.4693335935926
Joao Miguel,90,7253.511004986101,837.469333593593
Juliano Alexandre,45,5359.1242017411305,551.1702506401211
Juliano Alexandre,50,5572.80317404439,553.8283800303631
Juliano Alexandre,55,5494.455788444028,521.4705370160669
Juliano Alexandre,60,5494.455788444029,521.4705370160669
Juliano Alexandre,65,5494.45578844403,521.4705370160672
Juliano Alexandre,70,5494.455788444029,521.4705370160669
Juliano Alexandre,75,5494.455788444027,521.4705370160669
Juliano Alexandre,80,5494.455788444029,521.4705370160673
Juliano Alexandre,85,5494.455788444027,521.4705370160668
Juliano Alexandre,90,5494.455788444029,521.4705370160672
Matheus Roldan,45,4553.508937681446,523.7054746565298
Matheus Roldan,50,4626.238010704187,526.17098600768
Matheus Roldan,55,4645.903049450376,490.33510584554307
Matheus Roldan,60,4645.903049450378,490.33510584554307
Matheus Roldan,65,4645.903049450377,490.33510584554307
Matheus Roldan,70,4645.903049450376,490.33510584554296
Matheus Roldan,75,4645.903049450378,490.3351058455431
Matheus Roldan,80,4645.903049450378,490.33510584554296
Matheus Roldan,85,4645.903049450379,490.3351058455431
Matheus Roldan,90,4645.903049450377,490.3351058455431
Natan Costa,45,6681.0219505052755,647.9580800036274
Natan Costa,50,6955.5852059970075,658.3605771065388
Natan Costa,55,6957.026057754,646.8917645265176
Natan Costa,60,6957.026057754003,646.8917645265175
Natan Costa,65,6957.026057754,646.8917645265172
Natan Costa,70,6957.026057754,646.8917645265176
Natan Costa,75,6957.026057754002,646.8917645265174
Natan Costa,80,6957.026057754001,646.8917645265175
Natan Costa,85,6957.026057754003,646.8917645265174
Natan Costa,90,6957.026057754002,646.8917645265174
Saymom Guedes,45,3565.361134765412,346.1441933742302
Saymom Guedes,50,3331.1848738803533,334.0341274627997
Saymom Guedes,55,3304.7108554758875,335.58828361659954
Saymom Guedes,60,3304.710855475888,335.58828361659954
Saymom Guedes,65,3304.7108554758875,335.5882836165995
Saymom Guedes,70,3304.7108554758875,335.58828361659954
Saymom Guedes,75,3304.7108554758875,335.58828361659954
Saymom Guedes,80,3304.7108554758875,335.5882836165995
Saymom Guedes,85,3304.710855475888,335.5882836165995
Saymom Guedes,90,3304.7108554758875,335.5882836165995
Vava,45,4691.813550919659,513.1252344176942
Vava,50,4754.966293949903,515.4275766784017
Vava,55,4731.105453836084,474.0003959300501
Vava,60,4731.105453836085,474.0003959300502
Vava,65,4731.105453836083,474.0003959300501
Vava,70,4731.105453836083,474.00039593005
Vava,75,4731.105453836083,474.0003959300501
Vava,80,4731.105453836084,474.0003959300502
Vava,85,4731.105453836084,474.0003959300501
Vava,90,4731.105453836086,474.00039593005
